name,type,family,tabler_mit,lucide_isc,official_logo_cc0,mark,color
"BitTorrent","protocol","P2P","arrows-shuffle","shuffle","bittorrent","BitTorrent","#050505"
"IPFS","protocol","P2P","topology-star","waypoints","ipfs","IPFS","#65C2CB"
"Java","product","Language & build","","","openjdk","OpenJDK","#000000"
"Maven","product","Language & build","","","apachemaven","Apache Maven","#C71A36"
"JUnit","product","Testing","","","junit5","JUnit5","#25A162"
"Spring Boot","product","Framework","","","springboot","Spring Boot","#6DB33F"
"PostgreSQL","product","Data","","","postgresql","PostgreSQL","#4169E1"
"S3","product","Data","bucket","","","","#0B7A6E"
"Kafka","product","Messaging","","","apachekafka","Apache Kafka","#231F20"
"OpenAPI","product","API","","","openapiinitiative","OpenAPI Initiative","#6BA539"
"Kubernetes","product","Platform","","","kubernetes","Kubernetes","#326CE5"
"Quarkus","product","Framework","","","quarkus","Quarkus","#4695EB"
"Tomcat","product","Framework","","","apachetomcat","Apache Tomcat","#F8DC75"
"Gradle","product","Language & build","","","gradle","Gradle","#02303A"
"Redis","product","Data","","","redis","Redis","#FF4438"
"Elasticsearch","product","Data","","","elasticsearch","Elasticsearch","#005571"
"nginx","product","Network","","","nginx","NGINX","#009639"
"Docker","product","Platform","","","docker","Docker","#2496ED"
"Helm","product","Platform","","","helm","Helm","#0F1689"
"Terraform","product","Delivery","","","terraform","Terraform","#844FBA"
"Jenkins","product","Delivery","","","jenkins","Jenkins","#D24939"
"GitLab","product","Delivery","","","gitlab","GitLab","#FC6D26"
"Grafana","product","Observability","","","grafana","Grafana","#F46800"
"Prometheus","product","Observability","","","prometheus","Prometheus","#E6522C"
"Keycloak","product","Security","","","keycloak","Keycloak","#4D4D4D"
"RabbitMQ","product","Messaging","","","rabbitmq","RabbitMQ","#FF6600"
"WireGuard","product","Security","","","wireguard","WireGuard","#88171A"
"Linux","product","System","","","linux","Linux","#FCC624"
"Ubuntu","product","System","","","ubuntu","Ubuntu","#E95420"
"VMware","product","System","","","vmware","VMware","#607078"
"Proxmox","product","System","","","proxmox","Proxmox","#E57000"
"pfSense","product","Network","","","pfsense","pfSense","#212121"
"Istio","product","Platform","","","istio","Istio","#466BB0"
"Vault","product","Security","","","vault","Vault","#FFEC6E"
"Spring Security","product","Framework","","","springsecurity","Spring Security","#6DB33F"
"Flyway","product","Data","","","flyway","Flyway","#CC0200"
"Hibernate","product","Framework","","","hibernate","Hibernate","#59666C"
"Spring MVC","product","Framework","","","spring","Spring","#000000"
"draw.io","product","Delivery","","","diagramsdotnet","diagrams.net","#F08705"
"JSON Schema","product","API","","","json","JSON","#000000"
"Conteneurs OCI","product","Platform","","","opencontainersinitiative","Open Containers Initiative","#262261"
"SBOM","product","Delivery","","","spdx","SPDX","#4398CC"
"Python","product","Language & build","","","python","Python","#3776AB"
"Go","product","Language & build","","","go","Go","#00ADD8"
"Rust","product","Language & build","","","rust","Rust","#000000"
"TypeScript","product","Language & build","","","typescript","TypeScript","#3178C6"
"Node.js","product","Language & build","","","nodedotjs","Node.js","#5FA04E"
".NET","product","Language & build","","","dotnet",".NET","#512BD4"
"Kotlin","product","Language & build","","","kotlin","Kotlin","#7F52FF"
"React","product","Web","","","react","React","#61DAFB"
"Vue.js","product","Web","","","vuedotjs","Vue.js","#4FC08D"
"Angular","product","Web","","","angular","Angular","#0F0F11"
"Vite","product","Web","","","vite","Vite","#9135FF"
"Tailwind CSS","product","Web","","","tailwindcss","Tailwind CSS","#06B6D4"
"Android","product","Client","","","android","Android","#3DDC84"
"Flutter","product","Client","","","flutter","Flutter","#02569B"
"Swift","product","Client","","","swift","Swift","#F05138"
"MySQL","product","Data","","","mysql","MySQL","#4479A1"
"MongoDB","product","Data","","","mongodb","MongoDB","#47A248"
"SQLite","product","Data","","","sqlite","SQLite","#003B57"
"ClickHouse","product","Data","","","clickhouse","ClickHouse","#FFCC01"
"Neo4j","product","Data","","","neo4j","Neo4j","#4581C3"
"MinIO","product","Data","","","minio","MinIO","#C72E49"
"Apache Spark","product","Compute","","","apachespark","Apache Spark","#E25A1C"
"Apache Airflow","product","Compute","","","apacheairflow","Apache Airflow","#017CEE"
"DuckDB","product","Data","","","duckdb","DuckDB","#FFF000"
"Jupyter","product","Compute","","","jupyter","Jupyter","#F37626"
"PyTorch","product","Compute","","","pytorch","PyTorch","#EE4C2C"
"Hugging Face","product","Compute","","","huggingface","Hugging Face","#FFD21E"
"Ollama","product","Compute","","","ollama","Ollama","#000000"
"Google Cloud","product","Platform","","","googlecloud","Google Cloud","#4285F4"
"OpenTelemetry","product","Observability","","","opentelemetry","OpenTelemetry","#000000"
"Jaeger","product","Observability","","","jaeger","Jaeger","#66CFE3"
"GitHub Actions","product","Delivery","","","githubactions","GitHub Actions","#2088FF"
"Argo CD","product","Delivery","","","argo","Argo","#EF7B4D"
"Ansible","product","Delivery","","","ansible","Ansible","#EE0000"
"pytest","product","Testing","","","pytest","Pytest","#0A9EDC"
"Cypress","product","Testing","","","cypress","Cypress","#69D3A7"
"NATS","product","Messaging","","","natsdotio","NATS.io","#27AAE1"
"Apache Pulsar","product","Messaging","","","apachepulsar","Apache Pulsar","#188FFF"
"Load balancer","role","Network","arrows-split-2","","","",""
"Reverse proxy","role","Network","arrow-guide","","","",""
"API gateway","role","Network","door-enter","","","",""
"CDN","role","Network","world-bolt","","","",""
"Firewall","role","Network","wall","","","",""
"Service","role","Compute","box","","","",""
"Worker","role","Compute","settings-automation","","","",""
"Scheduled job","role","Compute","clock-cog","","","",""
"Function","role","Compute","bolt","","","",""
"Cache","role","Files","stack-3","","","",""
"Object storage","role","Files","archive","","","",""
"Data warehouse","role","Files","building-warehouse","","","",""
"Search index","role","Files","list-search","","","",""
"Image registry","role","Files","packages","","","",""
"Bastion","role","Security","door","","","",""
"Secrets vault","role","Security","lock-square-rounded","","","",""
"Certificate authority","role","Security","certificate-2","","","",""
"Workstation","role","Client","device-desktop","","","",""
"Mobile app","role","Client","device-mobile","","","",""
"User","role","Client","user","","","",""
"Team","role","Client","users","","","",""
"Connected device","role","Client","access-point","","","",""
"Logs","role","Monitoring","list-details","","","",""
"Metrics","role","Monitoring","chart-line","","","",""
"Alerting","role","Monitoring","bell","","","",""
"Physical server","role","Hardware","server-2","","","",""
"Virtual machine","role","Hardware","box-multiple","","","",""
"Hypervisor","role","Hardware","cpu","","","",""
"Switch","role","Network","topology-star-3","","","",""
"Router","role","Network","router","","","",""
"Cluster node","role","Platform","cube-3d-sphere","","","",""
"Pod","role","Platform","container","","","",""
"Cluster service","role","Platform","affiliate","","","",""
"Persistent volume","role","Files","versions","","","",""
"Controller","role","Code","api-app","","","",""
"Application service","role","Code","brackets","","","",""
"Repository","role","Code","database-cog","","","",""
"Entity","role","Code","table-options","","","",""
"Configuration","role","Code","adjustments","","","",""
"Build","role","Delivery","hammer","","","",""
"Code formatter","role","Delivery","wand","","","",""
"Static analysis","role","Delivery","bug","","","",""
"Architecture test","role","Testing","ruler-measure","","","",""
"Coverage","role","Testing","percentage","","","",""
"Mutation test","role","Testing","virus","","","",""
"Contract test","role","Testing","file-check","","","",""
"Event contract","role","API","file-typography","","","",""
"Outbox table","role","Files","send","","","",""
"Domain event","role","Messaging","flare","","","",""
"Architecture decision","role","Delivery","notebook","","","",""
"Cloud provider","role","Platform","cloud","","","",""
"Serverless function","role","Compute","cloud-computing","","","",""
"Vector store","role","Data","vector","","","",""
"Queue","role","Messaging","inbox","","","",""
"Topic","role","Messaging","antenna-bars-5","","","",""
"Event bus","role","Messaging","topology-ring","","","",""
"Message broker","role","Messaging","exchange","","","",""
"Third-party API","role","API","world-code","","","",""
"SaaS provider","role","Platform","cloud-network","","","",""
"Partner system","role","Platform","external-link","","","",""
"Payment provider","role","Security","credit-card","","","",""
"Web application","role","Client","app-window","","","",""
"Desktop application","role","Client","device-imac","","","",""
"Admin console","role","Client","layout-dashboard","","","",""
"Dashboard","role","Monitoring","chart-histogram","","","",""
"Network zone","role","Network","network","","","",""
"Availability zone","role","Platform","world-pin","","","",""
"Tenant","role","Platform","building-community","","","",""
"Container","role","Platform","cube","","","",""
"Edge node","role","Network","satellite","","","",""
"Mainframe","role","Hardware","building-skyscraper","","","",""
"Data lake","role","Data","file-database","","","",""
"Ingestion job","role","Data","database-import","","","",""
"Stream processor","role","Data","filter","","","",""
"Data catalogue","role","Data","clipboard-data","","","",""
"Training job","role","Compute","brain","","","",""
"Model registry","role","Data","box-model","","","",""
"Model serving","role","Compute","robot","","","",""
"Feature store","role","Data","table","","","",""
"File transfer","role","Files","transfer","","","",""
"Batch ETL job","role","Data","arrows-split","","","",""
